,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1,7/8/2020 23:11,5.04E+11,fraud_Wiza LLC,misc_pos,7.97,Bruce,Hall,M,77686 Donald Bridge Apt. 711,Grifton,NC,28530,35.3757,-77.4193,7332,Forensic psychologist,6/27/1957,3a8ad64314b25bbfe077559bd783ee53,1373325116,35.365011,-76.516309,1
2,6/21/2020 18:29,4.86E+15,fraud_Schroeder Group,health_fitness,6.69,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",2/25/1990,ef13b32c3094144715176a3e3e772c58,1371839356,42.661607,-74.175081,0
3,6/29/2020 23:10,4.76E+18,fraud_Monahan-Morar,personal_care,21.88,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,5/2/1986,9bedb0a04a7ae8a83a4f69e3b4b73584,1372547414,37.325467,-91.58335,1
4,6/21/2020 20:50,6.54E+15,"fraud_Medhurst, Cartwright and Ebert",personal_care,113.01,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,2/8/1982,133f3647b433b2bbc1dbd47e448ffb46,1371847856,41.627631,-87.272488,0
5,6/21/2020 18:46,4.66E+18,"fraud_Roberts, Daniel and Macejkovic",kids_pets,46.2,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,8/4/1963,b5abb4c23d46bc91ef50539aa77032b9,1371840365,41.488982,-79.531816,0
6,6/21/2020 19:52,3.53E+15,"fraud_Bahringer, Bergnaum and Quitzon",home,48.07,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,3/1/1994,50ac4b6e8adc7ee7493bfebec5fa52b3,1371844352,42.666883,-75.051608,0
7,6/21/2020 22:40,3.53E+15,fraud_Stamm-Witting,shopping_net,8.36,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,3/1/1994,19d89cf5ea32c11bed1d37d61ad5f365,1371854420,42.960143,-74.47318,0
8,6/21/2020 14:50,4.91E+18,fraud_Brown-Greenholt,entertainment,15.67,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,2/13/1987,859d5e3f41cc40a4b9dcec189d2694d3,1371826215,25.562625,-81.812661,0
9,6/21/2020 23:18,6.54E+15,fraud_Champlin-Casper,home,2.77,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,2/8/1982,5db518601cb9ca2d7d1bfa8c10348f72,1371856708,42.079552,-87.242921,0
10,6/21/2020 19:56,3.53E+15,fraud_Wilkinson LLC,personal_care,81.32,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,6/4/1997,08cec7a860240f855dff87d991e014b1,1371844580,32.175635,-80.364093,0
11,6/21/2020 22:16,4.89E+18,fraud_Veum-Koelpin,travel,1.86,Jeremy,Whitney,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,4/30/1979,ebc5a9e32b7c539ffb3ea3dbc561ab13,1371852977,37.741361,-121.459859,0
12,7/3/2020 23:13,3.54E+15,fraud_Kuphal-Bartoletti,misc_net,912.89,Stephanie,Freeman,F,44613 James Turnpike,Rice,MN,56367,45.7364,-94.1658,6263,"Engineer, water",5/30/1944,b246893ff833555b1047f500918497e3,1372893185,45.958943,-94.553793,1
13,6/21/2020 22:13,3.50E+15,"fraud_Roob, Conn and Tremblay",shopping_pos,3.76,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,9/8/1976,4c13265fd7ff89688d7eec6bf4e3c634,1371852807,38.623149,-76.64754,0
